original,fixed
University of Southern Denmark,University of Southern Denmark
Stuttgart uni,University of Stuttgart
University of Stuttgart,University of Stuttgart
Tartu University,University of Tartu
University of Tartu,University of Tartu
University of tartu,University of Tartu
"University of Tartu, Estonia",University of Tartu
"University of Tartu, Tartu Observatory",University of Tartu
University of the Basque Country,University of the Basque Country
University of Trieste,University of Trieste
University of Tunis El Manar,University of Tunis El Manar
University of Turku,University of Turku
University of Tübingen,University of Tübingen
University of Vaasa,University of Vaasa
University of Vienna,University of Vienna
University of Washington,University of Washington
Uniwersytet Warszawski,Uniwersytet Warszawski
Univerait,Unknown
Uppsala University,Uppsala University
Uppsala university,Uppsala University
uppsala university,Uppsala University
Utsunomiya university,Utsunomiya University
Verkís hf,Verkís hf
VOTO,VOTO
VTT,VTT Technical Research Centre of Finland
Warsaw University of Technology,Warsaw University of Technology
Wroclaw University of Science and Technology,Wroclaw University of Science and Technology
Abo Akademi University,Åbo Akademi University
Åbo Akademi University,Åbo Akademi University
